Secretaria / Organismo;Programa Operativo;Archivo Fuente;Campo Disponible;Descripcion del campo
ANSES;ANSES;anses;Archivo_id;Identificador único del archivo generado por ANSES.
ANSES;ANSES;anses;Fecha_Ejecucion_Fc;Fecha de ejecución del proceso.
ANSES;ANSES;anses;Order_Nu;Identificador único de la fila.
ANSES;ANSES;anses;Cuil_Cuit_Nu;CUIL/CUIT de la persona. Identificador válido y vigente.
ANSES;ANSES;anses;Nacimiento_Fc;Fecha de nacimiento de la persona correspondiente al CUIL.
ANSES;ANSES;anses;Sexo_Cd;Sexo registrado para la persona. Opciones: M (masculino) / F (femenino) / X (no binario).
ANSES;ANSES;anses;Provincia_Cd;Código de provincia del domicilio de la persona.
ANSES;ANSES;anses;Localidad_Tx;Localidad del domicilio de la persona.
ANSES;ANSES;anses;Codigo_Postal_Nu;Código postal del domicilio de la persona.
ANSES;ANSES;anses;Actualizacion_Domicilio_Fc;Fecha de actualización del domicilio de la persona.
ANSES;ANSES;anses;Cuil_Cuit_Titular_Cobro_Prestacion_Nu;CUIL/CUIT del titular para el cobro de las prestaciones del CUIL original.
ANSES;ANSES;anses;Cuil_Cuit_F1_Nu;CUIL/CUIT del familiar 1.
ANSES;ANSES;anses;Relacion_F1_Id;Código de relación del familiar 1. Tipo de relación: Hijo (hijo, curatela, etc.).
ANSES;ANSES;anses;Cuil_Cuit_F2_Nu;CUIL/CUIT del familiar 2.
ANSES;ANSES;anses;Relacion_F2_Id;Código de relación del familiar 2.
ANSES;ANSES;anses;Cuil_Cuit_F3_Nu;CUIL/CUIT del familiar 3.
ANSES;ANSES;anses;Relacion_F3_Id;Código de relación del familiar 3.
ANSES;ANSES;anses;Cuil_Cuit_F4_Nu;CUIL/CUIT del familiar 4.
ANSES;ANSES;anses;Relacion_F4_Id;Código de relación del familiar 4.
ANSES;ANSES;anses;Cuil_Cuit_F5_Nu;CUIL/CUIT del familiar 5.
ANSES;ANSES;anses;Relacion_F5_Id;Código de relación del familiar 5.
ANSES;ANSES;anses;Cuil_Cuit_F6_Nu;CUIL/CUIT del familiar 6.
ANSES;ANSES;anses;Relacion_F6_Id;Código de relación del familiar 6.
ANSES;ANSES;anses;Cuil_Cuit_F7_Nu;CUIL/CUIT del familiar 7.
ANSES;ANSES;anses;Relacion_F7_Id;Código de relación del familiar 7.
ANSES;ANSES;anses;Cuil_Cuit_F8_Nu;CUIL/CUIT del familiar 8.
ANSES;ANSES;anses;Relacion_F8_Id;Código de relación del familiar 8.
ANSES;ANSES;anses;Cuil_Cuit_F9_Nu;CUIL/CUIT del familiar 9.
ANSES;ANSES;anses;Relacion_F9_Id;Código de relación del familiar 9.
ANSES;ANSES;anses;Cuil_Cuit_F10_Nu;CUIL/CUIT del familiar 10.
ANSES;ANSES;anses;Relacion_F10_Id;Código de relación del familiar 10.
ANSES;ANSES;anses;Udai_Asociada_Tx;Última Unidad de Atención Integral (UDAI) a la que concurrió el titular para el cobro, si aplica.
ANSES;ANSES;anses;Visita_Udai_Fc;Fecha de la última visita a una UDAI del titular para el cobro.
ANSES;ANSES;anses;Cantidad_Tramite_Udai_Vl;Cantidad de trámites a una UDAI por parte del titular para el cobro, desde 01/01/2024.
ANSES;ANSES;anses;Cantidad_Visita_Udai_Vl;Cantidad de visitas a una UDAI por parte del titular para el cobro, desde 01/01/2024.
ANSES;ANSES;anses;Tramite_Virtual_FC;Fecha del último trámite virtual por parte del titular para el cobro, desde 01/01/2024.
ANSES;ANSES;anses;Cantidad_Tramite_Virtual_Vl;Cantidad de trámites virtuales por parte del titular para el cobro, desde 01/01/2024.
ANSES;ANSES;anses;Monto_Adicional_Vl;Monto adicional por prestación AUH y AUD (si corresponde).
ANSES;ANSES;anses;Monto_Descuento_Vl;Descuento del monto por prestación AUH o AUD (si corresponde) para analizar diferencia entre monto neto y bruto.
ANSES;ANSES;anses;Metodo_Cobro_Tx;Tipo de entidad de pago (banco, correo, billetera virtual, etc.).
ANSES;ANSES;anses;Prestacion_AUH_Fl;Indica si el CUIL es beneficiario de AUH en el período. 0: no beneficiario, 1: beneficiario.
ANSES;ANSES;anses;Monto_AUH_Vl;Monto bruto de AUH.
ANSES;ANSES;anses;Primer_Periodo_Cobro_AUH_Nu;Período de la primera liquidación de AUH, a partir de 01/01/2024. Formato: AAAAMM.
ANSES;ANSES;anses;Ultimo_Periodo_Cobro_AUH_Nu;Período de la última liquidación de AUH. Toma el valor del período actual en caso de ser beneficiario. Formato: AAAAMM.
ANSES;ANSES;anses;Cantidad_Liquidaciones_AUH_Vl;Cantidad de liquidaciones de AUH, a partir de 01/01/2024.
ANSES;ANSES;anses;DU_LE_LC_Fl;Tipo de documento distinto de DU, LE y LC del CUIL original.
ANSES;ANSES;anses;Ano_Libreta_Completa_Activo_Nu;Año de Libreta AUH que están todavía abiertas para el cobro del 20%.
ANSES;ANSES;anses;Sin_Libreta_AUH_Fl;Sin libreta del año anterior (año -2). En caso de haber cobrado AUH o AUD, se evalúa si cobró el complemento del 20%.
ANSES;ANSES;anses;Sin_Libreta_AUH_Ano_Anterior_Fl;Sin libreta del año anterior (año -1). En caso de haber cobrado AUH o AUD, se evalúa si cobró el complemento del 20%.
ANSES;ANSES;anses;Sin_Libreta_AUH_ano_Actual_Fl;Sin libreta del año actual. En caso de haber cobrado AUH o AUD, se evalúa si cobró el complemento del 20%.
ANSES;ANSES;anses;CUE_Anexo_Ano_Anterior_Nu;Código Único de Establecimiento Educativo del NNYA AUH y AUD que figura en la Libreta del año anterior.
ANSES;ANSES;anses;Hospital_Control_Ano_Anterior_Tx;Descripción de la institución donde se realizó el control de salud del NNYA AUH y AUD que figura en la Libreta del año anterior.
ANSES;ANSES;anses;Hospital_Vacunacion_Ano_Anterior_Tx;Descripción de la institución donde se realizó la vacunación del NNYA AUH y AUD que figura en la Libreta del año anterior.
ANSES;ANSES;anses;Sin_Padres_Fl;No tiene adulto responsable en ADP en el período.
ANSES;ANSES;anses;Unico_Padre_Fl;Código Único Progenitor inválido en el período.
ANSES;ANSES;anses;Asignacion_Universal_Por_Hijo_Fl;Marca que indica los niños que perciben Asignaciones Familiares en el período.
ANSES;ANSES;anses;Relacion_Dependencia_Fl;Marca que indica los niños que perciben Asignaciones Familiares en el período.
ANSES;ANSES;anses;Monotributista_Fl;Marca que indica los niños que perciben Asignaciones Familiares en el período.
